timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,EWMA accel_x,EWMA accel_y,EWMA accel_z,EWMA gyro_x,EWMA gyro_y,EWMA gyro_z,EWMA mag_x,EWMA mag_y,EWMA mag_z
8.05E+12,-0.19859314,1.9507294,8.752197,-0.014633179,0.02961731,0.017715454,16.583252,-21.711731,-46.925354,-0.387365014,1.76831801,9.486472095,-0.116957103,0.070393686,-0.016628253,15.3056851,-19.49250121,-42.04587543
8.05E+12,-0.16789246,2.0205994,8.614548,-0.002105713,-0.019241333,0.016098022,16.583252,-21.711731,-46.925354,-0.368487826,1.786559149,9.413044586,-0.106724711,0.066316048,-0.013193883,15.43344179,-19.71442419,-42.53382329
8.05E+12,-0.17100525,2.014267,8.6094055,0.003509522,-0.07763672,0.008468628,16.583252,-21.711731,-47.192383,-0.34842829,1.809963174,9.333194927,-0.096262811,0.05776031,-0.010264692,15.54842281,-19.91415487,-42.97297636
8.05E+12,-0.19384766,2.0135956,8.657455,0.006698608,-0.13664246,-0.001373291,16.583252,-21.711731,-47.192383,-0.330685986,1.830393557,9.260815984,-0.086285578,0.044220607,-0.00839136,15.65190573,-20.09391248,-43.39491702
8.05E+12,-0.18836975,1.9554901,8.725494,0.00428772,-0.19024658,-0.011749268,16.583252,-21.711731,-47.192383,-0.317002153,1.848713761,9.200479886,-0.076987159,0.0261343,-0.007689553,15.74504035,-20.25569433,-43.77466362
8.05E+12,-0.20347595,1.8810883,8.865036,-0.002822876,-0.23808289,-0.023727417,16.583252,-21.711731,-47.192383,-0.304138913,1.859391395,9.152981297,-0.068859671,0.004496212,-0.008095525,15.82886152,-20.401298,-44.11643556
8.05E+12,-0.2722168,1.8397522,9.066559,-0.011077881,-0.27781677,-0.034057617,15.892029,-21.298218,-46.855164,-0.294072617,1.861561085,9.124186768,-0.062255992,-0.019761698,-0.009658714,15.90430057,-20.5323413,-44.4240303
8.05E+12,-0.30439758,1.8084259,9.238464,-0.018676758,-0.3115387,-0.03981018,15.892029,-21.298218,-46.855164,-0.291887035,1.859380197,9.118423991,-0.057138181,-0.045567205,-0.012098604,15.90307341,-20.60892897,-44.66714367
8.05E+12,-0.29795837,1.7694092,9.418564,-0.02619934,-0.33700562,-0.04411316,15.892029,-21.298218,-46.855164,-0.293138089,1.854284767,9.130427992,-0.053292038,-0.072164355,-0.014869762,15.90196897,-20.67785787,-44.8859457
8.05E+12,-0.30342102,1.7147522,9.544174,-0.03024292,-0.35131836,-0.045837402,15.892029,-21.298218,-46.855164,-0.293620117,1.84579721,9.159241593,-0.050582768,-0.098648481,-0.017794102,15.90097497,-20.73989389,-45.08286753
8.05E+12,-0.2843933,1.6171722,9.716888,-0.034057617,-0.35295105,-0.04475403,15.725708,-21.195984,-46.757507,-0.294600208,1.832692709,9.197734833,-0.048548784,-0.123915469,-0.020598432,15.90008038,-20.7957263,-45.26009718
8.05E+12,-0.2501068,1.5673065,9.974304,-0.03515625,-0.34243774,-0.042770386,15.725708,-21.195984,-46.757507,-0.293579517,1.811140658,9.24965015,-0.047099667,-0.146819027,-0.023013992,15.88264314,-20.83575207,-45.40983816
8.05E+12,-0.2136383,1.5428925,10.178711,-0.034500122,-0.32395935,-0.03831482,15.725708,-21.195984,-46.757507,-0.289232245,1.786757243,9.322115535,-0.045905325,-0.166380898,-0.024989631,15.86694962,-20.87177526,-45.54460505
8.05E+12,-0.21873474,1.5780487,10.270828,-0.02734375,-0.29830933,-0.03186035,15.725708,-21.195984,-46.757507,-0.281672851,1.762370768,9.407775082,-0.044764805,-0.182138744,-0.02632215,15.85282546,-20.90419613,-45.66589524
8.05E+12,-0.23078918,1.6338043,10.272614,-0.011077881,-0.2642975,-0.024490356,15.725708,-22.691345,-47.340393,-0.27537904,1.743938561,9.494080373,-0.043022699,-0.193755802,-0.02687597,15.84011372,-20.93337492,-45.77505642
8.05E+12,-0.28147888,1.6585846,10.164749,0.008056641,-0.2260437,-0.01789856,15.725708,-22.691345,-47.340393,-0.270920054,1.732925135,9.571933736,-0.039828218,-0.200809972,-0.026637408,15.82867314,-21.10917193,-45.93159008
8.05E+12,-0.33702087,1.7376709,9.95369,0.027145386,-0.18345642,-0.013565064,15.725708,-22.691345,-47.340393,-0.271975936,1.725491082,9.631215262,-0.035039732,-0.203333345,-0.025763524,15.81837663,-21.26738924,-46.07247037
8.05E+12,-0.35087585,1.7910919,9.7747345,0.042785645,-0.14038086,-0.010299683,15.725708,-22.691345,-47.340393,-0.27848043,1.726709064,9.663462736,-0.02882122,-0.201345652,-0.024543678,15.80910977,-21.40978481,-46.19926263
8.05E+12,-0.38580322,1.8371735,9.676514,0.05142212,-0.10173035,-0.006576538,14.97345,-21.862793,-48.161316,-0.285719972,1.733147347,9.674589913,-0.021660533,-0.195249173,-0.023119278,15.80076959,-21.53794083,-46.31337567
8.05E+12,-0.43901062,1.8662262,9.70285,0.052139282,-0.06854248,-0.004577637,14.97345,-21.862793,-48.161316,-0.295728297,1.743549963,9.674782321,-0.014352268,-0.185897291,-0.021465004,15.71803763,-21.57042605,-46.4981697
8.05E+12,-0.42404175,1.8497772,9.646408,0.047424316,-0.04447937,-0.00390625,14.97345,-21.862793,-48.161316,-0.310056529,1.755817586,9.677589089,-0.007703113,-0.17416181,-0.019776267,15.64357887,-21.59966274,-46.66448433
8.05E+12,-0.37701416,1.838913,9.595093,0.04333496,-0.024810791,-0.001449585,14.97345,-21.862793,-48.161316,-0.321455051,1.765213548,9.67447098,-0.00219037,-0.161193566,-0.018189266,15.57656598,-21.62597577,-46.8141675
8.05E+12,-0.3697815,1.8063965,9.6089325,0.038650513,-0.00730896,0.004638672,14.866638,-21.711731,-48.2666,-0.327010962,1.772583493,9.666533182,0.002362163,-0.147555288,-0.016515298,15.51625438,-21.64965749,-46.94888235
8.05E+12,-0.32806396,1.8422699,9.603165,0.032470703,0.006164551,0.010101318,14.866638,-21.711731,-48.2666,-0.331288016,1.775964794,9.660773114,0.005990998,-0.133530655,-0.014399901,15.45129274,-21.65586484,-47.08065411
8.05E+12,-0.3350067,1.8699341,9.469666,0.027618408,0.014099121,0.013565064,14.866638,-21.711731,-48.2666,-0.33096561,1.782595304,9.655012303,0.008638968,-0.119561135,-0.011949779,15.39282727,-21.66145146,-47.1992487
8.05E+12,-0.37963867,1.8527069,9.337479,0.023880005,0.020080566,0.016174316,14.866638,-21.711731,-48.2666,-0.331369719,1.791329184,9.636477672,0.010536912,-0.106195109,-0.009398295,15.34020834,-21.66647941,-47.30598383
8.05E+12,-0.36976624,1.8765869,9.24408,0.019744873,0.024047852,0.020812988,16.15448,-21.711731,-47.950745,-0.336196614,1.797466955,9.606577805,0.011871222,-0.093567542,-0.006841033,15.29285131,-21.67100457,-47.40204545
8.05E+12,-0.31437683,1.9460297,9.089706,0.011169434,0.026504517,0.023803711,16.15448,-21.711731,-47.950745,-0.339553577,1.80537895,9.570328025,0.012658587,-0.081806002,-0.004075631,15.37901418,-21.67507721,-47.4569154
8.05E+12,-0.24905396,2.0279388,9.0346985,-3.51E-04,0.028686523,0.029418945,16.15448,-21.711731,-47.950745,-0.337035902,1.819444025,9.522265822,0.012509671,-0.07097495,-0.001287697,15.45656076,-21.67874259,-47.50629836
8.05E+12,-0.14979553,2.1300964,8.990784,-0.016799927,0.02734375,0.035095215,16.15448,-21.711731,-47.950745,-0.328237708,1.840293502,9.47350909,0.011223609,-0.061008803,0.001782967,15.52635268,-21.68204143,-47.55074303
8.05E+12,-0.0786438,2.2053528,8.877228,-0.035751343,0.016036987,0.036010742,15.591431,-20.741272,-46.665955,-0.31039349,1.869273792,9.425236581,0.008421255,-0.052173548,0.005114192,15.58916542,-21.68501039,-47.59074322
8.05E+12,-0.034805298,2.2584229,8.775391,-0.054840088,-0.002624512,0.030471802,15.591431,-20.741272,-46.665955,-0.287218521,1.902881693,9.370435723,0.004003996,-0.045352494,0.008203847,15.58939197,-21.59063655,-47.4982644
8.05E+12,-0.015365601,2.2700043,8.807785,-0.07157898,-0.027191162,0.014221191,15.591431,-20.741272,-46.665955,-0.261977199,1.938435814,9.310931251,-0.001880413,-0.041079696,0.010430642,15.58959588,-21.5057001,-47.41503346
8.05E+12,-0.061325073,2.180603,8.98201,-0.08404541,-0.060287476,-0.001312256,15.591431,-20.741272,-46.665955,-0.237316039,1.971592662,9.260616626,-0.008850269,-0.039690843,0.010809697,15.58977939,-21.42925729,-47.34012562
8.05E+12,-0.12445068,2.114975,9.205582,-0.0990448,-0.0970459,-0.017562866,15.553284,-20.681763,-46.591187,-0.219716942,1.992493696,9.232755963,-0.016369784,-0.041750506,0.009597502,15.58994455,-21.36045876,-47.27270855
8.05E+12,-0.042297363,2.053955,9.437912,-0.10820007,-0.13760376,-0.03303528,15.553284,-20.681763,-46.591187,-0.210190316,2.004741826,9.230038567,-0.024637285,-0.047280045,0.006881465,15.5862785,-21.29258918,-47.2045564
8.05E+12,-0.080322266,1.946228,9.682678,-0.10644531,-0.16921997,-0.044281006,15.553284,-20.681763,-46.591187,-0.193401021,2.009663144,9.25082591,-0.032993564,-0.056312417,0.002889791,15.58297905,-21.23150656,-47.14321946
8.05E+12,-0.06037903,1.9129639,9.702759,-0.097457886,-0.1920929,-0.054885864,15.553284,-20.681763,-46.591187,-0.182093145,2.003319629,9.294011119,-0.040338738,-0.067603172,-0.001827289,15.58000954,-21.17653221,-47.08801621
8.05E+12,-0.1355133,1.8493652,9.796188,-0.082229614,-0.19714355,-0.061416626,15.553284,-20.681763,-46.591187,-0.169921734,1.994284056,9.334885907,-0.046050653,-0.080052145,-0.007133147,15.57733699,-21.12705529,-47.03833329
8.05E+12,-0.13490295,1.8501434,9.962784,-0.0690918,-0.19241333,-0.06666565,15.553284,-20.681763,-46.591187,-0.16648089,1.979792171,9.381016116,-0.049668549,-0.091761285,-0.012561494,15.57493169,-21.08252606,-46.99361866
8.05E+12,-0.13000488,1.8286438,10.068924,-0.056137085,-0.18197632,-0.0687561,15.553284,-20.681763,-46.591187,-0.163323096,1.966827294,9.439192905,-0.051610874,-0.10182649,-0.01797191,15.57276692,-21.04244975,-46.9533755
